uptime,temp_cpu,crit_temp_cpu,temp_gpu,cpu_usage,gpu_usage,ram_usage
1093604,44.0,100.0,47.0,1.8,0.1,28.8
1094661,43.77777777777778,100.0,47.0,1.6,0.0,28.9
1095716,44.0,100.0,48.0,1.8,0.0,28.7
1096775,44.22222222222222,100.0,47.0,1.5,0.0,28.7
1097828,44.11111111111112,100.0,48.0,2.6,0.0,28.7
1098888,44.0,100.0,48.0,4.3,0.0,28.7
1099942,44.55555555555556,100.0,48.0,2.3,0.3,28.7
1100993,43.77777777777778,100.0,48.0,3.8,0.0,28.7
1102044,43.66666666666666,100.0,48.0,3.4,0.19,28.6
1103107,45.11111111111112,100.0,48.0,3.8,0.0,28.7
1104164,44.0,100.0,48.0,3.8,0.0,28.7
1105218,44.77777777777778,100.0,48.0,12.1,0.84,28.7
1106269,45.0,100.0,49.0,10.3,0.24,28.6
1107325,44.66666666666666,100.0,49.0,4.2,0.2,28.7
1108373,45.55555555555556,100.0,49.0,10.5,0.03,28.8
1109419,45.888888888888886,100.0,49.0,4.6,0.16,28.8
1110466,45.0,100.0,49.0,5.3,0.04,28.9
1111519,45.0,100.0,49.0,3.4,0.13,28.9
1112573,44.77777777777778,100.0,49.0,7.0,0.16,28.8
1113628,45.77777777777778,100.0,49.0,12.5,0.35,28.8
1114676,46.44444444444444,100.0,50.0,6.1,0.3,28.6
1115727,45.77777777777778,100.0,50.0,3.8,0.09,28.5
1116783,45.66666666666666,100.0,49.0,2.7,0.06,28.5
1117844,45.333333333333336,100.0,49.0,3.1,0.0,28.5
1118906,45.44444444444444,100.0,49.0,1.8,0.27,28.6
1119967,45.77777777777778,100.0,49.0,2.9,0.0,28.7
1121017,46.11111111111112,100.0,49.0,1.6,0.0,28.9
1122076,45.44444444444444,100.0,49.0,1.4,0.0,29.0
1123127,46.0,100.0,49.0,2.9,0.0,29.0
1124180,45.44444444444444,100.0,49.0,2.8,0.0,28.9
1125241,45.55555555555556,100.0,49.0,2.6,0.0,28.9
1126299,46.888888888888886,100.0,49.0,8.5,0.06,28.9
1127348,46.55555555555556,100.0,49.0,2.7,0.2,29.0
1128402,46.44444444444444,100.0,49.0,2.6,0.0,28.8
1129446,45.22222222222222,100.0,49.0,2.2,0.06,28.8
1130504,45.55555555555556,100.0,49.0,2.6,0.0,28.8
1131559,45.333333333333336,100.0,49.0,2.3,0.12,28.6
1132611,45.55555555555556,100.0,49.0,6.0,0.0,28.8
1133668,46.44444444444444,100.0,49.0,1.8,0.17,28.7
1134725,46.22222222222222,100.0,49.0,1.8,0.0,28.7
1135785,45.77777777777778,100.0,49.0,1.8,0.0,28.7
1136839,45.11111111111112,100.0,50.0,4.5,0.0,28.8
1137886,46.333333333333336,100.0,49.0,11.0,0.61,28.7
1138935,47.44444444444444,100.0,50.0,8.8,0.31,28.6
1139989,46.77777777777778,100.0,50.0,4.5,0.04,28.5
1141046,47.55555555555556,100.0,50.0,5.7,0.06,28.5
1142101,46.55555555555556,100.0,50.0,3.4,0.05,28.5
1143155,45.44444444444444,100.0,50.0,6.6,0.0,28.5
1144208,47.22222222222222,100.0,50.0,2.1,0.24,28.5
1145256,46.44444444444444,100.0,50.0,1.8,0.03,28.4
