uptime,temp_cpu,crit_temp_cpu,temp_gpu,cpu_usage,gpu_usage,ram_usage
1690876,38.888888888888886,100.0,-1,13.8,-1,54.1
1691900,39.77777777777778,100.0,-1,8.5,-1,54.0
1692921,38.44444444444444,100.0,-1,12.7,-1,53.8
1693944,39.77777777777778,100.0,-1,14.1,-1,53.7
1694966,38.888888888888886,100.0,-1,9.5,-1,53.7
1695985,38.333333333333336,100.0,-1,11.6,-1,53.8
1697008,39.66666666666666,100.0,-1,12.1,-1,53.7
1698031,39.0,100.0,-1,28.4,-1,53.8
1699050,41.888888888888886,100.0,-1,16.2,-1,53.8
1700065,38.888888888888886,100.0,-1,35.9,-1,53.8
1701079,45.0,100.0,-1,24.2,-1,53.8
1702095,41.44444444444444,100.0,-1,30.2,-1,53.9
1703117,40.77777777777778,100.0,-1,5.7,-1,53.8
1704135,38.77777777777778,100.0,-1,5.6,-1,53.8
1705151,39.22222222222222,100.0,-1,11.2,-1,53.8
1706170,39.11111111111112,100.0,-1,9.0,-1,53.7
1707188,39.333333333333336,100.0,-1,19.4,-1,53.7
1708205,38.77777777777778,100.0,-1,21.6,-1,53.7
1709226,39.333333333333336,100.0,-1,12.4,-1,53.7
1710246,38.66666666666666,100.0,-1,20.2,-1,53.7
1711265,39.0,100.0,-1,34.3,-1,54.1
1712284,40.44444444444444,100.0,-1,9.5,-1,54.1
1713304,38.66666666666666,100.0,-1,28.1,-1,54.1
1714322,40.66666666666666,100.0,-1,23.1,-1,54.1
1715339,40.888888888888886,100.0,-1,14.4,-1,54.2
1716358,39.333333333333336,100.0,-1,18.7,-1,54.2
1717376,39.66666666666666,100.0,-1,4.2,-1,54.1
1718395,39.22222222222222,100.0,-1,10.8,-1,54.2
1719415,39.22222222222222,100.0,-1,9.1,-1,54.2
1720433,39.11111111111112,100.0,-1,30.0,-1,54.1
1721450,42.44444444444444,100.0,-1,26.2,-1,54.1
1722473,39.66666666666666,100.0,-1,24.1,-1,54.1
1723490,41.0,100.0,-1,19.9,-1,54.1
1724521,41.0,100.0,-1,17.6,-1,54.2
1725551,39.11111111111112,100.0,-1,24.5,-1,54.2
1726573,40.0,100.0,-1,6.6,-1,54.2
1727592,39.22222222222222,100.0,-1,39.2,-1,54.1
1728628,43.11111111111112,100.0,-1,14.9,-1,54.0
1729665,39.888888888888886,100.0,-1,25.7,-1,54.0
1730687,40.22222222222222,100.0,-1,10.1,-1,54.0
1731704,39.44444444444444,100.0,-1,14.5,-1,54.1
1732750,42.11111111111112,100.0,-1,13.8,-1,54.0
1733785,40.333333333333336,100.0,-1,11.4,-1,54.0
1734802,39.888888888888886,100.0,-1,12.8,-1,53.9
1735821,39.0,100.0,-1,9.3,-1,54.0
1736838,39.0,100.0,-1,31.5,-1,54.0
1737863,41.22222222222222,100.0,-1,28.0,-1,54.1
1738897,41.333333333333336,100.0,-1,15.1,-1,54.0
1739922,40.333333333333336,100.0,-1,25.5,-1,54.1
1740941,41.0,100.0,-1,22.8,-1,54.1
1741963,42.66666666666666,100.0,-1,17.0,-1,54.1
1742985,40.66666666666666,100.0,-1,32.5,-1,54.1
1744004,42.11111111111112,100.0,-1,10.6,-1,54.1
1745025,40.11111111111112,100.0,-1,11.3,-1,54.1
1746046,41.0,100.0,-1,11.8,-1,54.1
1747064,39.55555555555556,100.0,-1,28.8,-1,54.1
1748076,42.22222222222222,100.0,-1,23.4,-1,54.0
1749095,42.22222222222222,100.0,-1,12.9,-1,54.1
1750127,40.22222222222222,100.0,-1,31.3,-1,54.0
1751148,40.888888888888886,100.0,-1,32.1,-1,54.0
1752169,57.44444444444444,100.0,-1,20.1,-1,54.0
1753181,41.0,100.0,-1,22.4,-1,54.0
1754198,40.44444444444444,100.0,-1,13.6,-1,54.0
1755231,41.22222222222222,100.0,-1,37.3,-1,54.0
1756256,51.11111111111112,100.0,-1,11.9,-1,54.0
1757270,40.888888888888886,100.0,-1,32.0,-1,54.0
1758283,62.55555555555556,100.0,-1,13.4,-1,54.0
1759296,41.11111111111112,100.0,-1,17.7,-1,54.0
1760347,42.22222222222222,100.0,-1,25.7,-1,54.0
1761385,44.22222222222222,100.0,-1,12.8,-1,54.0
1762400,40.66666666666666,100.0,-1,20.7,-1,54.0
1763422,40.77777777777778,100.0,-1,7.5,-1,54.0
1764444,40.77777777777778,100.0,-1,9.3,-1,53.9
1765461,40.0,100.0,-1,4.5,-1,54.0
1766480,39.44444444444444,100.0,-1,6.9,-1,54.0
1767498,39.333333333333336,100.0,-1,5.0,-1,54.0
1768517,38.66666666666666,100.0,-1,23.7,-1,54.0
1769535,55.333333333333336,100.0,-1,26.2,-1,54.1
1770550,40.888888888888886,100.0,-1,8.2,-1,54.2
1771569,39.55555555555556,100.0,-1,24.7,-1,54.1
1772587,39.888888888888886,100.0,-1,9.8,-1,54.1
1773606,39.888888888888886,100.0,-1,10.2,-1,54.1
1774625,38.888888888888886,100.0,-1,15.9,-1,54.1
1775650,41.11111111111112,100.0,-1,15.5,-1,54.1
1776678,38.888888888888886,100.0,-1,5.2,-1,54.1
1777696,38.55555555555556,100.0,-1,11.7,-1,54.0
1778715,39.66666666666666,100.0,-1,27.9,-1,54.0
1779737,40.0,100.0,-1,10.8,-1,54.0
1780754,39.888888888888886,100.0,-1,31.5,-1,54.0
1781771,39.55555555555556,100.0,-1,4.6,-1,54.0
1782789,39.22222222222222,100.0,-1,5.5,-1,54.1
1783805,39.0,100.0,-1,6.5,-1,54.1
1784821,40.333333333333336,100.0,-1,5.2,-1,54.1
1785842,39.11111111111112,100.0,-1,5.6,-1,54.2
1786868,39.0,100.0,-1,10.7,-1,54.1
1787892,39.11111111111112,100.0,-1,4.6,-1,54.0
1788911,38.888888888888886,100.0,-1,4.8,-1,54.0
1789930,38.22222222222222,100.0,-1,4.8,-1,54.0
1790949,38.77777777777778,100.0,-1,4.6,-1,53.9
1791969,38.11111111111112,100.0,-1,7.9,-1,54.0
